author,book_url,flowers,image_urls,images,monthly_clicks,rating,rewards,summary,tags,title,word_count
乱漫,https://b.faloo.com/1374607.html,4223687,http://img.faloo.com/Novel/332x470/1/1076/001076434.jpg,full/001076434.jpg,月点击：1130542,9.9,116.3万,"【飞卢小说网独家签约小说：综漫舰娘:从零开始打造次元帝国】
陆晨不慎穿越到毁灭后的蓝星，开局一个人，装备全靠捡。
所幸觉醒了次元文明系统，从石器时代开始征战万界，重建世界。
一个横跨次元的超级帝国出现在多元宇宙中。
舰娘海军陆战队听令，律者支援部队就绪，迦勒底英灵特遣队进入战斗位置。
魔法少女准备因果律打击，EVA已进入近地轨道，精灵们，换上神威灵装，碾碎敌人！！
万界的科技与魔法在此汇聚，打造出真正的地上天国。
我的文明横亘寰宇，超越次元。
纵然从零开始，我也将造我的城邦，在废墟之上。
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","爽文,穿越,系统",综漫舰娘:从零开始打造次元帝国,字数：332万
独居石,https://b.faloo.com/1473774.html,320080,http://img.faloo.com/Novel/332x470/1/1578/001578432.jpg,full/001578432.jpg,月点击：1138628,8.6,3万,"【飞卢小说网独家签约小说：木叶：我有一个重力修炼室】
夏木来到了火影世界，选择放下救世情节，尊重救世主命运，只为自己而活。
鸣人：萨斯给！
佐助：哪撸多！
小樱：你们住手！不要再打了！
雨一直下，雨下得很大，夏木在一旁嗑瓜子，顺便给女朋友天天也分一把。
佩恩：他把我的神罗天征弹开了！
带土：我只想要创造一个有琳的世界，夏木这混蛋却说有琳必有卡卡西，让我看卡卡西麒麟，出生啊！
六道斑：我愿称夏木为最强！
黑绝：夏木你混蛋，别踩我妈的脑袋！
夏木：不过是八门遁甲飞雷神仙人模式而已，竟然就是忍界最强了？
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","二次元,忍界,火影",木叶：我有一个重力修炼室,字数：100万
慢途的猪,https://b.faloo.com/1216400.html,11025511,http://img.faloo.com/Novel/332x470/1/1029/001029551.jpg,full/001029551.jpg,月点击：1710227,10,923.5万,"【飞卢小说网独家签约小说：全民转职：死灵法师！我即是天灾】
游戏降临现实，世界规则颠覆，人类进入全民转职时代。
魔物肆虐！秘境、副本、深渊数不胜数！
恐怖与宝物共存！危险与机遇同行！
唯有成为转职者！升级变强！方能站上世界之巅！
转职当天，林默语成为唯一性隐藏职业，死灵法师。
获得神级天赋，仅1级天赋就令所有技能增强10倍。
获得神级被动技能，所有伤害转移至召唤物身上。
从此召唤物不死绝，林默语便不会死。
“无穷无尽的神级骷髅战士！”
“亿万巫妖法师！”
“无数不死骨龙！”
“你扛得住吗？”
诅咒之下，神灵化为白骨。
尸体爆裂，天倾地覆，世界崩塌。
“我高坐骸骨神座，行走生死之间。”
“我即是天灾！”
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","爽文,穿越,系统",全民转职：死灵法师！我即是天灾,字数：953万
半块香橙,https://b.faloo.com/1470841.html,303774,http://img.faloo.com/Novel/332x470/1/1574/001574051.jpg,full/001574051.jpg,月点击：949229,9.4,9.5万,"【飞卢小说网独家签约小说：航海：开局掠夺克比词条！】
路恩穿越海贼世界，获得最强词条系统，可掠夺他人词条。
看着逃兵王克比身上那泛着金光的词条，路恩表示，你个小丑也配？拿来吧你！
随后，更多的强大词条，被路恩所掠夺。
海军本部：“他是能够吞噬一切，夺走一切的怪物，史上最凶恶的能力者，
没有世界政府最高层的许可，不许与之交战！
世界最危险的男人！‘天王’，路恩！
生死不论！悬赏金：39亿8890万贝利！”
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","二次元,航海,海贼王",航海：开局掠夺克比词条！,字数：57万
夜半三更,https://b.faloo.com/1467009.html,299883,http://img.faloo.com/Novel/332x470/1/1569/001569082.jpg,full/001569082.jpg,月点击：991726,9.5,3.3万,"【飞卢小说网独家签约小说：黑篮里的人气角色】
穿越了，没错，又来到了熟悉的黑篮世界。
本着辛苦打球不如买几手当老板看别人打球的想法，天道景严直接拒绝了他的破系统。
当然，世事无绝对，只要好处够多，没有事儿是没得谈的。
就这样天道景严带着他的统子踏上了他成为人气王的道路。
天道景严，“先给自己定格小目标，把《黑子的篮球》给打成《天道的篮球》！”
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","重生,搞笑,二次元",黑篮里的人气角色,字数：63万
机械之主,https://b.faloo.com/969757.html,9838994,http://img.faloo.com/Novel/332x470/0/980/000980005.jpg,full/000980005.jpg,月点击：998222,10,88.8万,"【飞卢小说网独家签约小说：全民领主：从零开始打造不朽仙域】
人人可成仙，人人可成神！
这是一个全民领主时代，也是有仙神同行，神话不仅仅是故事的时代！
吴池穿越平行世界，一脚迈入了这个诸天争渡，万族喋血的激昂大世！
拥有神秘至宝在手，他可以将一切领地建筑变异！
“白色”领主之心→“金色”领主之心！传说特性，登天门开！
【耕田】→【灵田】：产量x1000%！生长速度x1000%！
【水井】→【月亮之井】：瞬间回血！瞬间回蓝！
【箭塔】→【元素塔】：魔法齐鸣，毁天灭地！
【兵营】→【修仙学院】：三千剑仙，何惧一战！
......
吴池：“财富，权力，力量，美人......我，全都要！”
（ps：新书启程，质量保证，更新保证，内容比简介有趣，求收藏支持！）
。
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","爽文,热血,后宫",全民领主：从零开始打造不朽仙域,字数：901万
回不去的盛夏,https://b.faloo.com/1474607.html,11801,http://img.faloo.com/Novel/332x470/1/1584/001584937.jpg,full/001584937.jpg,月点击：998474,9.0,400,"【飞卢小说网独家签约小说：盘点崩坏超模怪，开局终焉灭世！】
罗峰穿越崩坏3rd世界，眼看着随时都有变成死士的危险的时候。
直播曝光系统降临！
当直播的画面降临到每个崩坏角色的面前。
整个崩坏宇宙画风出现了巨大的变化。
琪亚娜：“所以在每个世界里，我都是终焉之律者？”
芽衣：“在其他世界里，我和琪亚娜也都在贴贴？”
奥托：“我也是超模怪的一员吗？”
爱莉希雅：“魅魔凯文才是真正的超模怪！”
阿哈：“阿哈也是超模怪！”
......
随着一个个视频的播放......
崩坏宇宙的画风越来越不对劲了......
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","直播,无限流,盘点",盘点崩坏超模怪，开局终焉灭世！,字数：91万
顾止,https://b.faloo.com/1396616.html,1250018,http://img.faloo.com/Novel/332x470/1/1101/001101694.jpg,full/001101694.jpg,月点击：1011838,9.9,5.3万,"【飞卢小说网独家签约小说：大秦：儿子对比，嬴政酸了】
秦王政二十六年，天下刚刚一统，平行世界对比天幕降临，展现两个扶苏截然不同的一生。
嬴政看着天幕上那个功绩远迈自己，得千秋传唱、万代铭记，被赞誉为万古一太宗的扶苏。
又看了一眼身边这个因伪诏而死的公子扶苏，开始思考起能不能沟通天幕给他换一个儿子。
李斯看着左边天幕上被未来自己矫诏搞死的公子扶苏，以及自己被腰斩，夷灭三族的结局。
又看向右边天幕上那个尊称自己为斯相，在自己善终之后，还亲自追尊自己为“千古一相”的太宗扶苏。
心中同样浮现出一个想法，那就是能不能让他去辅佐太宗扶苏这样的秦二世？
吕雉、韩信、彭越等人看着让自己一展所长，善始善终，载誉青史的太宗扶苏。
心中也是同一个想法，他们也想追随那样的太宗扶苏陛下。
唯有公子扶苏、刘邦二人怀疑自我：“难道我做的真的那么差？”
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","爽文,种田,大秦",大秦：儿子对比，嬴政酸了,字数：204万
孙家小长工,https://b.faloo.com/1468695.html,30934,http://img.faloo.com/Novel/332x470/1/1571/001571399.jpg,full/001571399.jpg,月点击：1012355,9.4,888,"【飞卢小说网独家签约小说：黑料视频通过去，明星集体破防！】
穿越而来，林晨发现一款“超时空短视频”APP。
只要刷视频，就可以获得源源不断的奖励！
而他不知道的是，他刷的这些视频，都能够通过巨大天幕，让各个时空的人们看到！
林晨开局就刷到了【杨蜜：我老公呢！】
这香艳的画面，震撼到了所有人！
杨蜜：这视频中的女人，是我？
刘凯微：我怎么感觉脑袋绿绿的！
魏大熏：蜜姐私底下玩儿这么花，那我也有机会啊！
刷【明星出轨黑料！】
李晓璐：我会出轨？
贾乃量：你不是说去做头发了吗？
皮几万：嘿嘿，还是嫂子好玩儿！
杨影：我也离婚了？
丫丫：男人没一个好东西！
刷【哪吒2冲击全球票房！】
“阿凡达算个屁！”
“小哪吒给爷冲，要冲击全球票房冠军！”
刷【南天门计划！】
各国网友瑟瑟发抖！
龙国网友惊觉：原来列强竟是我自己！
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。","重生,搞笑,成长",黑料视频通过去，明星集体破防！,字数：74万
今天更新了没,https://b.faloo.com/1468208.html,51866,http://img.faloo.com/Novel/332x470/1/1570/001570628.jpg,full/001570628.jpg,月点击：1032328,9.6,500,"【飞卢小说网独家签约小说：视频通过去：百亿哪吒娱乐圈破防】
江明绑定了系统，刷短视频吃瓜，就能赚钱！
越刷钱越多！
就在这时，江明刷的短视频分享到了每个时空节点！
刷【魔童哪吒2破百亿！】
整个娱乐圈破大防！
“什么，动画片也能百亿？”
“电影丸辣，我们真人流量干不过一个三岁小孩？”
“吒儿，给我破，干死全球榜！”
刷【娱乐圈三大定律】
汪风：好好好，这样玩是吧！
萧敬藤：气象局找我入职？
张學友：催我开演唱会，甲方是帽子蜀黍？
【刷明星们的“业余兼职”】
陈冠唏：摄影找我，技术贼高！
谢庭峰：你等着，我弄死你！
随着江明一条条短视频刷出！
偷税漏税、阴阳合同、出轨，逆天发言，抽象粉丝……
娱乐圈的腌臜事儿全部被曝光！
龙哥家开始了一场对于娱乐圈的大扫除！
“内鱼，丸辣！”
飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。",位面,视频通过去：百亿哪吒娱乐圈破防,字数：69万
